,dawf_Star_name,dawf_Star_Distance,Mass,Radius
277,WISE 0226-0211,91,,206.55363
278,WISE 0241-3653,53.8,,206.55363
279,WISE 0245-3450,56.1,,206.55363
280,WISE 0247+3725,57.1,,206.55363
281,WISE 0305+3954,75,,206.55363
282,WISE 0307+2904,82.8,,206.55363
283,WISE 0313+7807,28,,206.55363
284,WISE 0316+4307,106.3,,206.55363
285,WISE 0321-7347,84.8,,206.55363
286,WISE 0323-6025,45.3,,206.55363
287,WISE 0325-3854,51.2,,206.55363
288,WISE 0325+0831,36.5,,206.55363
289,WISE 0333-5856,54.8,,206.55363
290,WISE 0335+4310,45.7,,206.55363
291,WISE 0336-0143,55.4,,206.55363
292,WISE 0350-5658,17.7,,206.55363
293,WISE 0359-5401,19.2,,206.55363
294,WISE 0410+1502,20,0.00111686796,206.55363
295,WISE 0410+1411,85.8,,206.55363
296,WISE 0413-4750,66.2,,206.55363
297,WISE 0448-1935,69.8,,206.55363
298,WISE 0458+6434A,35.9,0.0040092696,206.55363
299,WISE 0458+6434B,35.9,0.0036274344,206.55363
300,WISE 0500-1223,47,,206.55363
301,WISE 0513+0608,44.7,,206.55363
302,WISE 0525+6739,98.2,,206.55363
303,WISE 0528-3308,57.4,,206.55363
304,WISE 0535-7500,47,,206.55363
305,WISE 0539-1034,84.8,,206.55363
306,WISE 0542-1628,50.6,,206.55363
307,WISE 0607+2429,25.4,,206.55363
308,WISE 0611-0410,57.7,,206.55363
309,WISE 0612-4920,95.2,,206.55363
310,WISE 0612-3036,64.9,,206.55363
311,WISE 0614+3912,50.2,,206.55363
312,WISE 0614+0951,51.5,,206.55363
313,WISE 0623-0456,37.5,,206.55363
314,WISE 0625+5646,67.2,,206.55363
315,WISE 0627-1114,37.2,,206.55363
316,WISE 0647-6232,28,,206.55363
317,WISE 0656+4205,54.1,,206.55363
318,WISE 0713-2917,23.2,,206.55363
319,WISE 0723+3403,45.7,,206.55363
320,WISE 0733+7544,78.3,,206.55363
321,WISE 0734-7157,34.9,,206.55363
322,WISE 0744+5628,47.3,,206.55363
323,WISE 0750+2725,51.5,,206.55363
324,WISE 0751-7634,39.1,,206.55363
325,WISE 0759-4904,38.8,,206.55363
326,WISE 0811-8051,32,,206.55363
327,WISE 0812+4021,63.6,,206.55363
328,WISE 0819-0335,46,,206.55363
329,WISE 0821+1443,68.2,,206.55363
330,WISE 0836-1859,72.4,,206.55363
331,WISE 0857+5604,42.1,,206.55363
332,WISE 0906+4735,51.5,,206.55363
333,WISE 0929+0409,64.9,,206.55363
334,WISE 0952+1955,72.1,,206.55363
335,WISE 1018-2445,47.6,,206.55363
336,WISE 1019+6529,56.8,,206.55363
337,WISE 1039-1600,47.3,,206.55363
338,WISE 1042-3842,53.2,,206.55363
339,WISE 1051-2138,40.8,,206.55363
340,WISE 1122+2550,57.7,,206.55363
341,WISE 1124-0421,50.6,,206.55363
342,WISE 1147-2040,102,,206.55363
343,WISE 1150+6302,32.9,,206.55363
344,WISE 1217+1626A,34.2,,206.55363
345,WISE 1217+1626B,34.2,,206.55363
346,WISE 1225-1013,55.4,,206.55363
347,WISE 1311+0122,44.4,,206.55363
348,WISE 1311+3629,86.1,,206.55363
349,WISE 1318-1758,32.9,,206.55363
350,WISE 1320+6034,56.1,,206.55363
351,WISE 1322-2340,33.9,,206.55363
352,WISE 1348+6603,91,,206.55363
353,WISE 1405+5534,25.3,0.00082094568,206.55363
354,WISE 1433-0837,84.8,,206.55363
355,WISE 1436-1814,60,,206.55363
356,WISE 1457+5815,52.2,,206.55363
357,WISE 1506+7027,11.1,,206.55363
358,WISE 1517+0529,72.4,,206.55363
359,WISE 1519+7009,50.9,,206.55363
360,WISE 1523+3125,84.5,,206.55363
361,WISE 1541-2250,20,,206.55363
362,WISE 1542+2230,41.1,,206.55363
363,WISE 1612-3420,55.4,,206.55363
364,WISE 1614+1739,32.6,,206.55363
365,WISE 1617+1807,50.2,,206.55363
366,WISE 1622-0959,52.2,,206.55363
367,WISE 1627+3255,50.2,,206.55363
368,WISE 1639-6847,16.3,,206.55363
369,WISE 1647+5632,28,,206.55363
370,WISE 1653+4444,39.5,,206.55363
371,WISE 1711+3500,60.3,,206.55363
372,WISE 1717+6129,72.7,,206.55363
373,WISE 1721+1117,62.3,,206.55363
374,WISE 1728+5716,97.8,,206.55363
375,WISE 1738+2732,20,,206.55363
376,WISE 1741+2553,18.9,,206.55363
377,WISE 1746-0338,83.8,,206.55363
378,WISE 1800+0134,28.7,,206.55363
379,WISE 1804+3117,30,,206.55363
380,WISE 1809+3838,74.4,,206.55363
381,WISE 1812+2721,47,,206.55363
382,WISE 1828+2650,36,,206.55363
383,WISE 1830+4542,107,,206.55363
384,WISE 1841+7000,131.1,,206.55363
385,WISE 1852+3537,55.4,,206.55363
386,WISE 1906+4508,51.5,,206.55363
387,WISE 1928+2356,22.8,,206.55363
388,WISE 1952+7240,44.4,,206.55363
389,WISE 1959-3338,37.2,,206.55363
390,WISE 2030+0749,34.2,,206.55363
391,WISE 2014+0424,96.2,,206.55363
392,WISE 2015+6646,50.6,,206.55363
393,WISE 2018-7423,47.9,,206.55363
394,WISE 2019-1148,42.4,,206.55363
395,WISE 2056+1459,24.5,,206.55363
396,WISE 2134-7137,42.7,,206.55363
397,WISE 2157+2659,61.6,,206.55363
398,WISE 2209-2734,46,,206.55363
399,WISE 2213+0911,58.7,,206.55363
400,WISE 2220-3628,26.4,,206.55363
401,WISE 2226+0440,45,,206.55363
402,WISE 2237-0614,53.5,,206.55363
403,WISE 2237+7228,46,,206.55363
404,WISE 2239+1617,59.7,,206.55363
405,WISE 2255-3118,44.7,,206.55363
406,WISE 2301+0216,60.7,,206.55363
407,WISE 2313-8037,35.9,,206.55363
408,WISE 2319-1844,52.2,,206.55363
409,WISE 2325-4105,37.5,,206.55363
410,WISE 2327-2730,70.8,,206.55363
411,WISE 2335+4222,90.3,,206.55363
412,WISE 2340-0745,37.8,,206.55363
413,WISE 2342+0856,51.2,,206.55363
414,WISE 2343-7418,48.6,,206.55363
415,WISE 2344+1034,46,,206.55363
416,WISE 2348-1028,54.1,,206.55363
417,WISE 2357+1227,54.8,,206.55363
418,WISE 2359-7335,42.7,,206.55363
419,WISEA 1101+5400,111,,207.27297099999998
420,2M1510,120,,205.73152599999997
421, , ,unknown,unknown
422,"
Accretion
Molecular cloud
Bok globule
Young stellar object
Protostar
Pre-main-sequence
Herbig Ae/Be
T Tauri
FU Orionis
Herbig–Haro object
Hayashi track
Henyey track", ,unknown,unknown
423, , ,unknown,unknown
424,"
Main sequence
Red-giant branch
Horizontal branch
Red clump
Asymptotic giant branch
super-AGB
Blue loop
Protoplanetary nebula
Planetary nebula
PG1159
Dredge-up
OH/IR
Instability strip
Luminous blue variable
Blue straggler
Stellar population
Supernova
Superluminous supernova / Hypernova", ,unknown,unknown
425, , ,unknown,unknown
426,"
Early
Late
Main sequence
O
B
A
F
G
K
M
Brown dwarf
WR
OB
Subdwarf
O
B
Subgiant
Giant
Blue
Red
Yellow
Bright giant
Supergiant
Blue
Red
Yellow
Hypergiant
Yellow
Carbon
S
CN
CH
White dwarf
Chemically peculiar
Am
Ap/Bp
HgMn
Helium-weak
Barium
Extreme helium
Lambda Boötis
Lead
Technetium
Be
Shell
B[e]", ,unknown,unknown
427, , ,unknown,unknown
428,"
Compact star
White dwarf
Helium planet
Black dwarf
Neutron
Radio-quiet
Pulsar
Binary
X-ray
Magnetar
Stellar black hole
X-ray binary
Burster
SGR", ,unknown,unknown
429, , ,unknown,unknown
430,"
Blue dwarf
Green
Black dwarf
Exotic
Boson
Electroweak
Strange
Preon
Planck
Dark
Dark-energy
Quark
Q
Black
Gravastar
Frozen
Quasi-star
Thorne–Żytkow object
Iron
Blitzar
White hole
Planck star", ,unknown,unknown
431, , ,unknown,unknown
432,"
Deuterium burning
Lithium burning
Proton–proton chain
CNO cycle
Helium flash
Triple-alpha process
Alpha process
Carbon burning
Neon burning
Oxygen burning
Silicon burning
S-process
R-process
Fusor
Nova
Symbiotic
Remnant
Luminous red nova", ,unknown,unknown
433, , ,unknown,unknown
434,"
Core
Convection zone
Microturbulence
Oscillations
Radiation zone
Atmosphere
Photosphere
Starspot
Chromosphere
Stellar corona
Stellar wind
Bubble
Bipolar outflow
Accretion disk
Asteroseismology
Helioseismology
Eddington luminosity
Kelvin–Helmholtz mechanism", ,unknown,unknown
